target,predicted
sa'ʔan pu'edeŋ mami'li naŋ lib'ɾo,sa'ʔan pu'edeŋ mami'li naŋ lib'ɾo
tala'ɡaŋ 'simple,tala'ɡaŋ 'simple
ʔaŋ sa'kit,ʔaŋ sa'kit
naɡta'nim ʔaŋ maɡsa'saka naŋ 'tɾiɡo sa kan'jaŋ 'bukid,naɡta'nim ʔaŋ maɡsasa'ka naŋ 'tɾiɡo sa ka'njaŋ 'bukid
ɡus'to ni to'mas naŋ ka'pe,ɡus'to ni to'mas naŋ ka'pe
naʔan'talaʔ ʔaŋ 'tɾen 'dahil sa mabi'ɡat na ni'ebe,naʔan'tala ʔaŋ 'tɾen 'dahil sa mabi'ɡat na ni'ebe
maimumuŋ'kahiʔ ko ʔaŋ sumusu'nod na paɡba'baɡo,maʔimumuŋ'kahiʔ ko ʔaŋ sumu'sunod na paɡba'baɡo
tinitiŋ'nan ko ʔaŋ 'lupaʔ sa ta'bi naŋ kaʔi'biɡan ko,tinitiŋ'nan ko ʔaŋ 'lupaʔ sa ta'bi naŋ kaʔi'biɡan ko
nasa'ʔan ʔaŋ 'tataj mo,nasa'ʔan ʔaŋ 'tataj mo
sa te'atɾo si 'kati ʔat ʔaŋ kan'jaŋ ʔi'na ʔaj naɡpali'tan naŋ ʔupu'ʔan,sa te'atɾo si 'kati ʔat ʔaŋ ka'njaŋ ʔi'na ʔaj naɡpa'litan naŋ ʔupu'ʔan
nasa'ʔan na ʔaŋ 'ʔakiŋ 'makina naŋ 'ʔoɾas,nasa'ʔan na ʔaŋ 'ʔakiŋ 'makina naŋ 'ʔoɾas
'sinoŋ nata'lo,'sinoŋ na'talo
ʔumu'lan naŋ mala'kas na mala'kas ma'ŋa kala'hatiŋ 'ʔoɾas,ʔumu'lan naŋ mala'kas na mala'kas ma'ŋa kala'hatiŋ 'ʔoɾas
luma'bas si'a 'paɾa maɡla'kad,luma'bas si'a 'paɾa maɡla'kad
ʔumu'poʔ si'a sa 'kama,ʔumu'poʔ si'a sa 'kama
tinawa'nan ni'la ʔaŋ ʔi'dea ko,tinawa'nan ni'la ʔaŋ ʔi'dea ko
ʔaŋ 'numeɾo naŋ ku'aɾto nin'jo 'poʔ,ʔaŋ 'numeɾo naŋ ku'aɾto nin'jo 'poʔ
kamus'ta ʔaŋ bakas'jon mo,kamus'ta ʔaŋ bakas'jon mo
'sanaj na'kita mo ʔaŋ 'sine,'sanaj na'kita mo ʔaŋ 'sine
si'a ʔaj ʔikina'sal sa 'ɡulaŋ na laˌbimpi'to,si'a ʔaj ʔikina'sal sa 'ɡulaŋ na labim'pito
wa'laʔ ʔa'koŋ pakiʔa'lam sa 'ɡastos,wa'laʔ ʔa'koŋ pakiʔa'lam sa 'ɡastos
diʔ si'la pumalak'pak 'paɾa sa 'ʔamin,diʔ si'la pumalak'pak 'paɾa sa 'ʔamin
pumun'ta ʔa'ko sa pinaŋjaɾi'han naŋ 'kɾimen,pumun'ta ʔa'ko sa pinaŋja'ɾihan naŋ 'kɾimen
nakakan'dado ʔaŋ ku'aɾto ni 'tom,nakakan'dado ʔaŋ ku'aɾto ni 'tom
kaʔi'laŋan ko pa naŋ ma'ŋa 'kumot,kaʔi'laŋan ko pa naŋ ma'ŋa 'kumot
ma'baɡal si'aŋ tumak'bo,ma'baɡal si'aŋ tumak'bo
'pwede mo 'baŋ patu'luɡin ʔaŋ saŋ'ɡol,'pwede mo 'baŋ patu'luɡin ʔaŋ saŋ'ɡol
'sino ʔaŋ 'mas mataŋ'kad ʔi'kaw 'ʔo si 'ken,'sino ʔaŋ 'mas mataŋ'kad ʔi'kaw ʔo si 'ken
hin'diʔ ʔa'ko nakakasali'taʔ,hin'diʔ ʔa'ko nakakasali'taʔ
'paɾa sa ʔa'noŋ 'ʔoɾas ba 'poʔ,'paɾa sa ʔa'noŋ 'ʔoɾas ba 'poʔ
hin'diʔ pa ʔa'ko nakapaɡdesis'jon,hin'diʔ pa ʔa'ko nakapaɡdesis'jon
'peɾo 'bakit,'peɾo 'bakit
hin'diʔ na ʔa'ko maɡu'ɡulat kuŋ ma'huli si tom,hin'diʔ na ʔa'ko maɡu'ɡulat kuŋ ma'huli si 'tom
hin'diʔ mo masa'sabi kuŋ ɡa'ʔano kata'ɡal ʔi'toŋ ma'ŋa 'mitiŋ na ʔi'to,hin'diʔ mo masa'sabi kuŋ ɡa'ʔano kata'ɡal ʔi'toŋ ma'ŋa 'mitiŋ na ʔi'to
ɡus'to 'koŋ ma'laman ni 'tom ʔaŋ katoto'hanan,ɡus'to 'koŋ ma'laman ni 'tom ʔaŋ katoto'hanan
ʔuˌmiʔi'nom ʔa'ko naŋ 'ɡatas,ʔuˌmiʔi'nom ʔa'ko naŋ 'ɡatas
pina'ŋakoʔ mo sa 'ʔakiŋ ʔaa'laɡan mo si'la,pina'ŋakoʔ mo sa 'ʔakiŋ ʔaʔa'laɡan mo si'la
ʔaŋ 'ɡutom ʔaŋ pinakamaɡa'liŋ na 'salsa,ʔaŋ 'ɡutom ʔaŋ pinakamaɡa'liŋ na sal'sa
'ʔajaw ko naŋ ma'ŋa naˌkaka'takot na pala'bas,'ʔajaw ko naŋ ma'ŋa naˌkaka'takot na pala'bas
hin'diʔ mo kaʔi'laŋaŋ humi'ŋiʔ naŋ 'tawad,hin'diʔ mo kaʔi'laŋaŋ humi'ŋiʔ naŋ 'tawad
ba'baʔe ʔa'ko,ba'baʔe ʔa'ko
ʔi'to ʔaŋ 'ʔakiŋ ʔa'nak'ʔutak,ʔi'to ʔaŋ 'ʔakiŋ ʔanak'ʔutak
'ɡusto ko 'sanaŋ makipaɡ'ʔusap sa'jo naŋ 'tajoŋ dala'wa 'laŋ 'peɾo 'paɾaŋ 'laɡi 'kaŋ maj ka'samaŋ ʔi'baŋ 'taʔo,ɡus'to ko sa'naŋ makipaɡ'ʔusap sa'jo naŋ 'tajoŋ dala'wa 'laŋ 'peɾo 'paɾaŋ 'laɡi 'kaŋ maj kasa'maŋ ʔi'baŋ 'taʔo
diʔ pa naɡ'lutoʔ naŋ ha'punan si ma'ɾia,diʔ pa naɡ'lutoʔ naŋ ha'punan si ma'ɾia
ʔi'kaw ʔaj 'ʔakiŋ ʔa'sawa,ʔi'kaw ʔaj 'ʔakiŋ ʔa'sawa
ma'hal 'kita,ma'hal ki'ta
ʔaŋ 'ʔisaj ba'ɡot ʔaŋ 'ʔibaj 'lumaʔ,ʔaŋ ʔi'saj 'baɡot ʔaŋ ʔi'baj 'lumaʔ
maɾi'kit ba ʔaŋ wik'ʔend mo,maɾi'kit ba ʔaŋ 'wikʔend mo
nama'taj si'a ʔi'laŋ 'ʔaɾaw paɡka'lipas naŋ ka'njaŋ ʔikaʔisanda'ʔaŋ kaʔaɾa'wan,nama'taj si'a ʔi'laŋ 'ʔaɾaw paɡka'lipas naŋ ka'njaŋ ʔikaʔisan'daʔaŋ kaʔaɾa'wan
'paɾaŋ natutu'aʔ si'a sa ʔastɾono'mia,'paɾaŋ natutu'aʔ si'a sa ʔastɾono'mia
'baɡo ʔaŋ ma'ŋa lib'ɾo naŋ ʔestud'janteŋ ʔi'to,'baɡo ʔaŋ ma'ŋa lib'ɾo naŋ ʔestud'janteŋ ʔi'to
sa'waʔ na ʔa'ko sa kaka'kaʔin sa ɾestaw'ɾan,sa'waʔ na ʔa'ko sa kaka'kaʔin sa ɾes'tawɾan
maɡsimu'laʔ 'kaŋ kuman'ta,maɡsimu'laʔ 'kaŋ kuman'ta
kabalastu'ɡan ʔaŋ sina'sabi mo kaʔi'biɡan ko,kabalastu'ɡan ʔaŋ sina'sabi mo kaʔi'biɡan ko
naɡhin'taj ʔaŋ la'hat,naɡhin'taj ʔaŋ la'hat
ɡa'waʔ sa 'plastik ʔaŋ 'silja,ɡa'waʔ sa 'plastik ʔaŋ 'silja
niɾepɾe'sent ni'a ʔaŋ 'klase ni'a sa 'mitiŋ,niɾepɾe'sent ni'a ʔaŋ 'klase ni'a sa 'mitiŋ
ʔanu'man ʔaŋ maŋ'jaɾi hin'diʔ mo mala'laman,ʔanu'man ʔaŋ maŋ'jaɾi hin'diʔ mo mala'laman
wa'laŋ dahi'lan 'paɾa ma'takot,wa'laŋ dahi'lan 'paɾa ma'takot
sumasa'kit ʔaŋ 'ʔakiŋ lala'munan 'dahil sa 'labis na paniniɡa'ɾiljo,sumasa'kit ʔaŋ 'ʔakiŋ lala'munan 'dahil sa 'labis na paniniɡa'ɾiljo
pakiʔu'lit 'ŋa 'poʔ,pakiʔu'lit 'ŋaʔ 'poʔ
ʔi'kaw ba ʔaŋ naɡ'ʔiwan naŋ pin'toʔ na nakabu'kas kaɡa'bi,ʔi'kaw ba ʔaŋ naɡ'ʔiwan naŋ pin'toʔ na nakabu'kas kaɡa'bi
ʔaŋ la'lakiŋ ʔi'on ʔaj si ɾa'ʔul,ʔaŋ la'lakiŋ ʔi'on ʔaj si ɾa'ʔul
paɡka'tapos ʔaj pumun'ta ka'mi sa betle'hem 'paɾa ma'kita ʔaŋ ma'ŋa ɾe'bulto,paɡka'tapos ʔaj pumun'ta ka'mi sa 'betlehem 'paɾa ma'kita ʔaŋ ma'ŋa ɾe'bulto
hin'diʔ nai'taɡoʔ naŋ muk'haʔ ni'a ʔaŋ 'tunaj ni'aŋ naɾaɾamda'man,hin'diʔ nai'taɡoʔ naŋ muk'haʔ ni'a ʔaŋ 'tunaj ni'aŋ naɾaɾam'daman
'dapat ʔia'djast mo ʔaŋ 'klak hu'li si'a,'dapat ʔiʔad'jast mo ʔaŋ 'klak hu'li si'a
'dahil sa ɡus'to ni'jaŋ maɡta'noŋ itina'ʔas ni'a ʔaŋ kan'jaŋ ka'maj,'dahil sa ɡus'to ni'jaŋ maɡta'noŋ ʔitina'ʔas ni'ja ʔaŋ ka'njaŋ ka'maj
'dahil sa napakaɡan'da naŋ pana'hon 'pwede ba ʔa'koŋ maɡbu'kas naŋ ʔi'saŋ bin'tanaʔ,'dahil sa napa'kaɡanda naŋ pana'hon 'pwede ba ʔa'koŋ maɡbu'kas naŋ ʔi'saŋ bin'tanaʔ
'bakit bumi'li ka naŋ i'baŋ 'kot͡ʃe,'bakit bumi'li ka naŋ ʔi'baŋ 'kot͡ʃe
'pwede moŋ ka'ʔinin ʔaŋ natiti'ɾaŋ 'paj,'pwede moŋ ka'ʔinin ʔaŋ nati'tiɾaŋ 'pej
si'noŋ naɡʔi'ʔiŋaj,'sinoŋ naɡʔi'ʔiŋaj
'dapat ni'a ʔa'koŋ pasalama'tan,'dapat ni'a ʔa'koŋ pasalama'tan
'kaja mo 'baŋ luma'ŋoj,ka'jaʔ mo 'baŋ luma'ŋoj
'lasa i'toŋ t͡ʃa'ʔa,'lasa ʔi'toŋ t͡ʃa'ʔa
ʔiminumuŋ'kahiʔ ba ni 'tom ʔi'on,ʔiminumuŋ'kahiʔ ba ni 'tom ʔi'on
ʔa'noŋ ɡus'to moŋ paŋʔalmu'sal,ʔa'noŋ ɡus'to moŋ paŋʔalmu'sal
nanaŋha'liʔan ka na ba,nanaŋha'liʔan ka na ba
diʔ ko ʔa'lam kuŋ 'nasa 'ʔakin pa,diʔ ko ʔa'lam kuŋ 'nasa 'ʔakin pa
hin'diʔ mo ba ʔa'bot ʔaŋ ma'ŋa lib'ɾo sa 'ʃelf,hin'diʔ mo ba ʔa'bot ʔaŋ ma'ŋa lib'ɾo sa 'ʃelf
ʔa'ko ʔaj nata'takot,ʔa'ko ʔaj nata'takot
'naʔis 'koŋ ma'ɡiŋ noɾ'mal ʔu'lit ʔaŋ la'hat,'naʔis 'koŋ ma'ɡiŋ noɾ'mal ʔu'lit ʔaŋ la'hat
nanini'wala ʔa'ko na ʔino'sente si'a,nanini'wala ʔa'ko na ʔino'sente si'a
ʔaŋ paɡpapasala'mat ʔaj maʔa'ʔaɾiŋ makapaɡpasa'ja sa ʔi'o,ʔaŋ paɡpapasa'lamat ʔaj maʔa'ʔaɾiŋ makapaɡpasa'ja sa ʔi'o
nan'dito nan'dito,nan'dito si'la
suma'ɡot si 'tom,suma'ɡot si 'tom
ʔa'ko ʔaŋ si'nisi ni'la,ʔa'ko ʔaŋ si'nisi ni'la
hin'diʔ ka 'dapat ʔu'masa sa 'tuloŋ naŋ i'baŋ 'taʔo,hin'diʔ ka 'dapat ʔu'masa sa 'tuloŋ naŋ ʔi'baŋ 'taʔo
si'a ʔaŋ kumata'wan sa 'klase ni'a sa paɡti'tipon,si'a ʔaŋ kumata'wan sa 'klase ni'a sa paɡti'tipon
ʔi'on ba ʔaŋ 'sabi ni 'tom ʔo hin'diʔ,ʔi'on ba ʔaŋ 'sabi ni 'tom ʔo hin'diʔ
hin'diʔ si'a nakukun'tento,hin'diʔ si'a nakukun'tento
ʔa'no ba tala'ɡaŋ 'ʔibiɡ sa'bihin naŋ 'flatən də 'kaɾv,ʔa'no ba tala'ɡaŋ 'ʔibiɡ sa'bihin naŋ 'flatən də 'kəɾv
wa'laŋ 'taʔo sa 'mitiŋ,wa'laŋ 'taʔo sa 'mitiŋ
ʔa'noŋ pɾo'blema mo 'ʔiwan mo 'muna ʔa'ko hu'aɡ 'kaŋ makiʔa'lam,ʔa'noŋ pɾo'blema mo 'ʔiwan mo 'muna ʔa'ko hu'aɡ 'kaŋ makiʔa'lam
su'mubok si'a ʔat naɡa'waʔ ni'a,su'mubok si'a ʔat naɡa'waʔ ni'a
'bakit ɡus'to 'moŋ ʔuma'lis ŋa'jon,'bakit ɡus'to moŋ ʔuma'lis ŋa'jon
bumi'li ka naŋ ʔi'laŋ 'tokwa paba'lik mo sa 'bahaj,bumi'li ka naŋ ʔi'laŋ 'tokwa paba'lik mo sa 'bahaj
pu'ede 'baŋ pata'jin mo ʔaŋ ti'bi,pu'ede 'baŋ pata'jin mo ʔaŋ ti'bi
sumeɾ'joso ka 'ŋaʔ,sumeɾ'joso ka 'ŋaʔ
la'hat na maɡuniɡu'ni mo ʔaj toto'ʔo,la'hat na maɡuniɡu'ni mo ʔaj toto'ʔo
ʔa'ko ʔaj nahu'li no'ʔoŋ ʔu'maɡa ka'jaʔ naɡa'lit ʔaŋ 'ʔakiŋ 'ʔamo,ʔa'ko ʔaj nahu'li no'ʔoŋ ʔu'maɡa ka'jaʔ na'ɡalit ʔaŋ 'ʔakiŋ 'ʔamo
hu'aɡ maɡla'ɡaj naŋ ma'ŋa 'bataʔ sa lo'ʔob naŋ 'baɡ,hu'aɡ maɡla'ɡaj naŋ ma'ŋa 'bataʔ sa lo'ʔob naŋ 'baɡ
ma'limit na ʔa'koj kala'hatiŋ ɡi'siŋ 'lamaŋ,ma'limit na ʔa'koj kala'hatiŋ ɡi'siŋ 'lamaŋ
si 'tom 'ʔaj ʔi'saŋ mapaɡkakati'walaŋ 'taʔo,si 'tom ʔaj ʔi'saŋ mapaɡkakatiwa'laŋ 'taʔo
nawa'laʔ 'sja na 'paɾaŋ bu'laʔ,nawa'laʔ 'sja na 'paɾaŋ bu'laʔ
naɡkun'waɾiʔ si'aŋ dok'toɾ,naɡkun'waɾiʔ si'aŋ dok'toɾ
siɾa'ʔulo ʔaŋ ma'ŋa ʔide'a ni'a,siɾa'ʔulo ʔaŋ ma'ŋa ʔide'a ni'a
si'noŋ su'mulat naŋ lib'ɾo,'sinoŋ su'mulat naŋ lib'ɾo
wa'laŋ ti'vi sa ku'aɾto ko,wa'laŋ ti'vi sa ku'aɾto ko
ʔaŋ 'sweɾte 'sweɾte nin'joŋ tat'lo,ʔaŋ 'sweɾte 'sweɾte nin'joŋ tat'lo
ha'napin si 'tom,ha'napin si 'tom
ʔi'saŋ 'noldo ba ʔaŋ 'nasa ʔi'lalim naŋ 'punoʔ,ʔi'saŋ 'noldo ba ʔaŋ 'nasa ʔi'lalim naŋ 'punoʔ
masasa'ɾap ʔaŋ kani'laŋ ma'ŋa 'kejk,masa'saɾap ʔaŋ ka'nilaŋ ma'ŋa 'kejk
maihaha'tid 'namin ʔaŋ pɾo'dukto sa 'hunjo,maʔiha'hatid 'namin ʔaŋ pɾo'dukto sa 'hunjo
hin'diʔ si'a nakaɾa'tiŋ ka'hapon,hin'diʔ si'a nakaɾa'tiŋ ka'hapon
lu'mapit si 'tom,lu'mapit si 'tom
kasiŋtaŋ'kad ko si'a,kasiŋtaŋ'kad ko si'a
ʔa'ko ʔaj maj ma'bahoŋ hini'ŋa,ʔa'ko ʔaj maj ma'bahoŋ hini'ŋa
naɡla'kad ʔa'ko papun'ta sa 'paɾke,naɡ'lakad ʔa'ko papun'ta sa 'paɾke
lu'mahoʔ 'ɾin si 'tom,luma'hoʔ 'ɾin si 'tom
sinindi'han ni'a ʔaŋ 'ʔilaw,sinindi'han ni'a ʔaŋ 'ʔilaw
sa ban'saŋ 'hapon 'halos la'hat naŋ pa'milja ʔaj maj ʔi'saŋ 'waʃiŋ ma'ʃin,sa ban'saŋ ha'pon 'halos la'hat naŋ pa'milja ʔaj maj ʔi'saŋ 'waʃiŋ ma'ʃin
ma'ŋa kat'loʔ naŋ ʔi'babaw naŋ ti'jeɾaj 'lupaʔ,ma'ŋa kat'loʔ naŋ ʔi'babaw naŋ ti'eɾaj 'lupaʔ
maɡ'kano ʔaŋ ibi'najad mo 'paɾa di'an,maɡ'kano ʔaŋ ʔibi'najad mo 'paɾa di'an
ʔa'lam 'koŋ hi'hindiʔ ka 'laŋ,ʔa'lam 'koŋ hihin'diʔ ka 'laŋ
ʔa'noŋ ʔinu'min,ʔa'noŋ ʔinu'min
maɡa'liŋ ʔaŋ 'pɾesjo,maɡa'liŋ ʔaŋ 'pɾesjo
wa'laŋ ʔanu'man sa 'ʔakin kuŋ 'sino 'man ʔaŋ ma'nalo,wa'laŋ ʔanu'man sa 'ʔakin kuŋ 'sino 'man ʔaŋ ma'nalo
ma'ɾami ka'miŋ ti'napaj ʔat 'sobɾa'sobɾa 'din ʔaŋ manti'kilja 'namin,ma'ɾami ka'miŋ ti'napaj ʔat sobɾa'sobɾa 'din ʔaŋ manti'kilja 'namin
'sabi ni'a sa 'ʔakin na ba'kaʔ pa'puntaŋ 'naɾa si'a sa ˌsusu'nod na bu'an,'sabi ni'a sa 'ʔakin na ba'ka papun'taŋ 'naɾa si'a sa ˌsusu'nod na bu'an
la'hat ʔaj naŋja'jaɾi naŋ maj dahi'lan,la'hat ʔaj naŋja'jaɾi naŋ maj dahi'lan
nanini'wala ka pa ba sa ma'ŋa 'kwentoŋ 'tulad ni'to,nanini'wala ka pa ba sa ma'ŋa 'kwentoŋ 'tulad ni'to
ma'ɡitiŋ ʔaŋ som'bɾeɾo 'dahil naŋ mani'baɡoŋ 'koɾte ni'a,maɡi'tiŋ ʔaŋ som'bɾeɾo 'dahil naŋ mani'baɡoŋ 'koɾte ni'a
